en,es,i18n_id,zh
"For Harrison St., Oakland Ave. and Piedmont, take Line 33 on 12th St.","Para ir a Harrison St., Oakland Ave. y Piedmont, suba a la l<0x00ED>nea 33 en 12th St.",sp17_28,<0x53BB> Harrison St.<0x3001>Oakland Ave. <0x548C> Piedmont<0xFF0C><0x8BF7><0x5728> 12th St. <0x642D><0x4E58>33<0x8DEF><0x3002>
"For Harrison St., Oakland Ave. or Piedmont, take Line 33.","Para ir a Harrison St., Oakland Ave. o Piedmont, suba a la l<0x00ED>nea 33.",sp17_29,"<0x53BB> Harrison St.<0x3001>Oakland Ave. <0x6216> Piedmont, <0x8BF7><0x642D><0x4E58>33<0x8DEF><0x3002>"
"For Harrison St., Oakland Ave., and Piedmont, take Line 33 on 12th St. For Peralta St., take Line 29 on 12th St.","Para ir a Harrison St., Oakland Ave. y Piedmont, suba a la l<0x00ED>nea 33 en 12th St. Para ir a Peralta St., suba a la l<0x00ED>nea 29 en 12th St.",sp17_30,"<0x53BB> Harrison St.<0x3001>Oakland Ave. <0x548C> Piedmont<0xFF0C><0x8BF7><0x642D><0x4E58>33<0x8DEF><0x516C><0x4EA4><0x3002><0x5982><0x53BB> Peralta St., <0x8BF7><0x5728> 12th St. <0x642D><0x4E58>29<0x8DEF><0x3002>"
"For Hopkins St. and MLK Jr. Way, take Line 12 on Gilman St.","Para ir a Hopkins St. y MLK Jr. Way, suba a la l<0x00ED>nea 12 en Gilman St.",sp17_31,<0x53BB> Hopkins St. <0x548C> MLK Jr. Way<0xFF0C><0x8BF7><0x5728> Gilman St. <0x642D><0x4E58>12<0x8DEF><0x3002>
"For Hopkins St. or Gilman St., take Line 12. For Solano Ave., Colusa Ave. or El Cerrito Plaza, take Line 79.","Para ir a Hopkins St. o Gilman St., suba a la l<0x00ED>nea 12. Para ir a Solano Ave., Colusa Ave. o El Cerrito Plaza, suba a la l<0x00ED>nea 79.",sp17_32,"<0x53BB> Hopkins St. <0x6216> Gilman St.<0xFF0C><0x8BF7><0x642D><0x4E58>12<0x8DEF><0x3002><0x5982><0x53BB> Solano Ave.<0x3001>Colusa Ave. <0x6216> El Cerrito Plaza, <0x8BF7><0x642D><0x4E58>79<0x8DEF><0x3002>"
"For Lakeshore Ave., take Line 29. For Park Blvd. and Montclair, take Line 33.","Para ir a Lakeshore Ave., suba a la l<0x00ED>nea 29. Para ir a Park Blvd. y Montclair, suba a la l<0x00ED>nea 33.",sp17_33,"<0x53BB> Lakeshore Ave.<0xFF0C><0x8BF7><0x642D><0x4E58>29<0x8DEF><0x3002><0x5982><0x53BB> Park Blvd. <0x548C> Montclair, <0x8BF7><0x642D><0x4E58>33<0x8DEF><0x3002>"
"For Line 18 to MLK Jr. Way, Berkeley, and Albany, take any bus here to Broadway and transfer. For 14th St. and Wood St., take Line 14. For Adeline St., take line 14 or 29 and transfer to Line 36 at Adeline St.","Para la l<0x00ED>nea 18 hacia MLK Jr. Way, Berkeley y Albany, suba aqu<0x00ED> a cualquier autob<0x00FA>s hacia Broadway y haga la transferencia. Para ir a 14th St. y Wood St., suba a la l<0x00ED>nea 14. Para ir a Adeline St., suba a la l<0x00ED>nea 14 o 29 y haga la transferencia a la l<0x00ED>nea 36 en Adeline St.",sp17_34,<0x5982><0x9700><0x642D><0x4E58><0x5F00><0x5F80> MLK Jr. Way<0x3001>Berkeley <0x548C> Albany <0x7684>18<0x8DEF><0xFF0C><0x8BF7><0x5728><0x672C><0x7AD9><0x642D><0x4E58><0x4EFB><0x4E00><0x7EBF><0x8DEF><0x53BB> Broadway<0xFF0C><0x7136><0x540E><0x8F6C><0x4E58><0x3002><0x5982><0x53BB> 14th St. <0x548C> Wood St.<0xFF0C><0x8BF7><0x642D><0x4E58>14<0x8DEF><0x3002><0x5982><0x53BB> Adeline St.<0xFF0C><0x8BF7><0x642D><0x4E58>14<0x8DEF><0x6216>29<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Adeline St. <0x8F6C><0x4E58>36<0x8DEF><0x3002>
"For Marina Village and Alameda Point, take Line 96 on Broadway at 12th St.","Para ir a Marina Village y Alameda Point, suba a la l<0x00ED>nea 96 en Broadway con 12th St.",sp17_35,<0x53BB> Marina Village <0x548C> Alameda Point<0xFF0C><0x8BF7><0x5728> Broadway <0x4E0A><0x7684> 12th St <0x7AD9><0x642D><0x4E58>96<0x8DEF><0x3002>
"For Martin Luther King Jr. Way, Solano Ave. or Colusa Ave., cross Center St. and take Line 79.","Para ir a Martin Luther King Jr. Way, Solano Ave. o Colusa Ave., cruce Center St. y suba a la l<0x00ED>nea 79.",sp17_36,<0x53BB> Martin Luther King Jr. Way<0x3001>Solano Ave. <0x6216> Colusa Ave.<0xFF0C><0x8BF7><0x7A7F><0x8FC7> Center St.<0xFF0C><0x7136><0x540E><0x642D><0x4E58>79<0x8DEF><0x3002>
"For Peralta St., cross 40th St. Take Line 57 west to Hollis St. and transfer to Line 29.","Para ir a Peralta St., cruce 40th St. Suba a la l<0x00ED>nea 57 al oeste de Hollis St. y haga la transferencia a la l<0x00ED>nea 29.",sp17_37,<0x53BB> Peralta St.<0xFF0C><0x8BF7><0x7A7F><0x8FC7> 40th St.<0xFF0C><0x642D><0x4E58>57<0x8DEF><0x53BB> Hollis St.<0xFF0C><0x7136><0x540E><0x8F6C><0x4E58>29<0x8DEF><0x3002>
"For Peralta St., go to 40th St. Take Line 57 to Hollis St. and transfer to Line 29.","Para ir a Peralta St., vaya a 40th St. Suba a la l<0x00ED>nea 57 hacia Hollis St. y haga la transferencia a la l<0x00ED>nea 29.",sp17_38,<0x53BB> Peralta St.<0xFF0C><0x8BF7><0x5728> 40th St. <0x642D><0x4E58>57<0x8DEF><0x53BB> Hollis St.<0xFF0C><0x7136><0x540E><0x8F6C><0x4E58>29<0x8DEF><0x3002>
"For Peralta St., go to 40th St. Take Line 57 west to Hollis St. and transfer to Line 29.","Para ir a Peralta St., vaya a 40th St. Suba a la l<0x00ED>nea 57 al oeste de Hollis St. y haga la transferencia a la l<0x00ED>nea 29.",sp17_39,<0x53BB> Peralta St.<0xFF0C><0x8BF7><0x5728> 40th St. <0x642D><0x4E58>57<0x8DEF><0xFF08><0x897F><0x5411><0xFF09><0x53BB> Hollis St.<0xFF0C><0x7136><0x540E><0x8F6C><0x4E58>29<0x8DEF><0x3002>
"For Peralta St., take Line 29. For Wood St. and 14th St., take Line 14.","Para ir a Peralta St., suba a la l<0x00ED>nea 29. Para ir a Wood St. y 14th St., suba a la l<0x00ED>nea 14.",sp17_40,<0x53BB> Peralta St.<0xFF0C><0x8BF7><0x642D><0x4E58>29<0x8DEF><0x3002><0x5982><0x53BB> Wood St. <0x548C> 14th St.<0xFF0C><0x8BF7><0x642D><0x4E58>14<0x8DEF><0x3002>
"For Peralta St., take Line 29. For Wood St. and 14th St., take any bus here to West Oakland BART and transfer to Line 14. ","Para ir a Peralta St., suba a la l<0x00ED>nea 29. Para ir a Wood St. y 14th St., s<0x00FA>base a cualquier autob<0x00FA>s aqu<0x00ED> hacia West Oakland BART y haga la transferencia a la l<0x00ED>nea 14.",sp17_41,<0x53BB> Peralta St.<0xFF0C><0x8BF7><0x642D><0x4E58>29<0x8DEF><0x3002><0x5982><0x53BB> 14th St. <0x548C> Wood St.<0xFF0C><0x53EF><0x4EE5><0x7531><0x6B64><0x6B65><0x884C><0x6216><0x8005><0x642D><0x4E58><0x4EFB><0x4E00><0x7EBF><0x8DEF><0x53BB> West Oakland BART<0xFF0C><0x7136><0x540E><0x518D><0x4E58><0x5750>14<0x8DEF><0x3002>
"For Peralta St., take Line 57 and transfer at Hollis St. to Line 29.","Para ir a Peralta St., suba a la l<0x00ED>nea 57 y haga la transferencia en Hollis St. a la l<0x00ED>nea 29.",sp17_42,<0x53BB> Peralta St.<0xFF0C><0x8BF7><0x642D><0x4E58>57<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Hollis St. <0x8F6C><0x4E58>29<0x8DEF><0x3002>
"For Peralta St., take Line 57 to Hollis St. and transfer to Line 29.","Para ir a Peralta St., suba a la l<0x00ED>nea 57 hacia Hollis St. y haga la transferencia a la l<0x00ED>nea 29.",sp17_43,<0x53BB> Peralta St.<0xFF0C><0x8BF7><0x642D><0x4E58>57<0x8DEF><0x53BB> Hollis St.<0xFF0C><0x7136><0x540E><0x8F6C><0x4E58>29<0x8DEF><0x3002>
"For Shellmound St., take Line 57. For Peralta St., walk or take any bus here to Hollis St. and take Line 29.","Para ir a Shellmound St., suba a la l<0x00ED>nea 57. Para ir a Peralta St., camine o suba a cualquier autob<0x00FA>s aqu<0x00ED> hacia Hollis St. y suba a la l<0x00ED>nea 29.",sp17_44,<0x53BB> Shellmound St.<0xFF0C><0x8BF7><0x642D><0x4E58>57<0x8DEF><0x3002><0x5982><0x53BB> Peralta St.<0xFF0C><0x8BF7><0x4ECE><0x6B64><0x5730><0x6B65><0x884C><0x6216><0x642D><0x4E58><0x4EFB><0x4E00><0x516C><0x4EA4><0x53BB> Hollis St.<0xFF0C><0x7136><0x540E><0x642D><0x4E58>29<0x8DEF><0x3002>
"For The Alameda, Colusa Ave., and El Cerrito Plaza, board Line 79 on University Ave. at Martin Luther King Jr. Way,","Para ir a The Alameda, Colusa Ave. y El Cerrito Plaza, suba a la l<0x00ED>nea 79 en University Ave. con Martin Luther King Jr. Way.",sp17_45,<0x53BB> Alameda<0x3001>Colusa Ave.<0x548C> El Cerrito Plaza<0xFF0C><0x8BF7><0x5728> University Ave. <0x4E0A><0x7684> Martin Luther King Jr. Way <0x7AD9><0x642D><0x4E58>79<0x8DEF><0x3002>
"For University Ave., downtown Berkeley, and the UC campus, take Line 81 and transfer to Line 51B at 4th St. & University Ave. For College Ave., take Line 81 and transfer to Line 51B at Ashby Ave. & College Ave.","Para ir a University Ave., downtown Berkeley y el campus de UC, suba a la l<0x00ED>nea 81 y haga la transferencia a la l<0x00ED>nea 51B en 4th St. con University Ave. Para ir a College Ave., suba a la l<0x00ED>nea 81 y haga la transferencia a la l<0x00ED>nea 51B en Ashby Ave. con College Ave.",sp17_46,<0x53BB> University Ave.<0x3001>downtown Berkeley <0x548C> UC <0x6821><0x56ED><0xFF0C><0x8BF7><0x642D><0x4E58>81<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> 4th St. <0x548C> University Ave. <0x4E0A><0x8F6C><0x4E58>51B<0x3002><0x5982><0x53BB> College Ave.<0xFF0C><0x8BF7><0x642D><0x4E58>81<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Ashby Ave. <0x548C> University Ave. <0x4E0A><0x8F6C><0x4E58>51B<0x3002>
"For University Village, Pierce St., or El Cerrito Plaza, take Line 80 on 8th St.","Para ir a University Village, Pierce St., o El Cerrito Plaza, suba a la l<0x00ED>nea 80 en 8th St.",sp17_47,<0x53BB> University Village<0x3001>Pierce St. <0x6216> El Cerrito Plaza<0xFF0C><0x8BF7><0x5728> 8th St. <0x4E0A><0x642D><0x4E58>80<0x8DEF><0x3002>
"For University Village, Pierce St., or El Cerrito Plaza, take line 12 and transfer to Line 80 at 8th St. & Gilman St.","Para ir a University Village, Pierce St., o El Cerrito Plaza, suba a la l<0x00ED>nea 12 y haga la transferencia a la l<0x00ED>nea 80 en 8th St. con Gilman St.",sp17_48,<0x53BB> University Village<0x3001>Pierce St.<0x6216> El Cerrito Plaza<0xFF0C><0x8BF7><0x642D><0x4E58>12<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> 8th St. <0x548C> Gilman St. <0x4E0A><0x8F6C><0x4E58>80<0x8DEF><0x3002>
"For West Oakland BART and Peralta St., take Line 29.","Para ir a West Oakland BART y Peralta St., suba a la l<0x00ED>nea 29.",sp17_49,<0x5982><0x53BB> West Oakland BART <0x548C> Peralta St.<0xFF0C><0x8BF7><0x642D><0x4E58>29<0x8DEF><0x3002>
Line 29 replaces Line 26 on Lakeshore Ave.,La l<0x00ED>nea 29 reemplaza a la l<0x00ED>nea 26 en Lakeshore Ave.,sp17_50,29<0x8DEF><0x4ECE> Lakeshore Ave. <0x5F00><0x59CB><0x66FF><0x4EE3>26<0x8DEF><0x3002>
Line 29 replaces Line 26 on Lakeshore Ave. and Walavista Ave.,La l<0x00ED>nea 29 reemplaza a la l<0x00ED>nea 26 en Lakeshore Ave. y Walavista Ave.,sp17_51,29<0x8DEF><0x4ECE> Lakeshore Ave. <0x548C> Walavista Ave. <0x5F00><0x59CB><0x66FF><0x4EE3>26<0x8DEF><0x3002>
"Line 29 replaces Line 31 on Hollis St. For MacArthur BART, transfer to Line 57 at 40th St.","La l<0x00ED>nea 29 reemplaza a la l<0x00ED>nea 31 en Hollis St. Para ir a MacArthur BART, haga la transferencia a la l<0x00ED>nea 57 en 40th St.",sp17_52,29<0x8DEF><0x4ECE> Hollis St. <0x5F00><0x59CB><0x66FF><0x4EE3>31<0x8DEF><0x3002><0x5982><0x53BB> MacArthur BART<0xFF0C><0x8BF7><0x5728> 40th St. <0x8F6C><0x4E58>57<0x8DEF><0x3002>
"Line 29 replaces Line 31 on Peralta St. For MacArthur BART, transfer to Line 57 at 40th St.","La l<0x00ED>nea 29 reemplaza a la l<0x00ED>nea 31 en Peralta St. Para ir a MacArthur BART, haga la transferencia a la l<0x00ED>nea 57 en 40th St.",sp17_53,29<0x8DEF><0x4ECE> Peralta St. <0x5F00><0x59CB><0x66FF><0x4EE3>31<0x8DEF><0x3002><0x5982><0x53BB> MacArthur BART<0xFF0C><0x8BF7><0x5728> 40th St. <0x8F6C><0x4E58>57<0x8DEF><0x3002>
Line 33 replaces Line 11 between Piedmont and Downtown Oakland.,La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 11 entre Piedmont y Downtown Oakland.,sp17_54,33<0x8DEF><0x5728> Piedmont <0x548C> Downtown Oakland <0x4E4B><0x95F4><0x66FF><0x4EE3>11<0x8DEF><0x3002>
Line 33 replaces Line 11 from Piedmont to Downtown Oakland.,La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 11 desde Piedmont hasta Downtown Oakland.,sp17_55,33<0x8DEF><0x66FF><0x4EE3>11<0x8DEF><0xFF0C><0x4ECE> Piedmont <0x5F00><0x5F80> Downtown Oakland<0x3002>
"Line 33 replaces Line 11 in Piedmont and on Harrison St. For 14th Ave., Highland Hospital, and the Dimond District transfer at 11th St. to Line 96.","La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 11 en Piedmont y en Harrison St. Para ir a 14th Ave., Highland Hospital, y Dimond District haga la transferencia a la l<0x00ED>nea 96 en 11th St.",sp17_56,33<0x8DEF><0x5728> Piedmont <0x548C> Harrison St. <0x4E0A><0x66FF><0x4EE3>11<0x8DEF><0x3002><0x5982><0x53BB> 14th Ave.<0x3001>Highland Hospital <0x548C> Dimond District<0xFF0C><0x8BF7><0x5728> 11th St. <0x8F6C><0x4E58>96<0x8DEF><0x3002>
Line 33 replaces Line 11 in Piedmont.,La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 11 en Piedmont.,sp17_57,33<0x8DEF><0x5728> Piedmont <0x66FF><0x4EE3>11<0x8DEF><0x3002>
"Line 33 replaces Line 11 on Harrison St. , Oakland Ave. and in Piedmont.","La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 11 en Harrison St. , Oakland Ave. y Piedmont.",sp17_58,33<0x8DEF><0x5728> Harrison St.<0x3001>Oakland Ave. <0x548C> Piedmont <0x66FF><0x4EE3>11<0x8DEF><0x3002>
"Line 33 replaces Line 11 on Harrison St. For 14th Ave., Highland Hospital and the Dimond District transfer at 11th St. to Line 96.","La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 11 en Harrison St. Para ir a 14th Ave., Highland Hospital, y Dimond District haga la transferencia a la l<0x00ED>nea 96 en 11th St.",sp17_59,33<0x8DEF><0x5728> Harrison St. <0x4E0A><0x66FF><0x4EE3>11<0x8DEF><0x3002><0x5982><0x53BB> 14th Ave.<0x3001>Highland Hospital <0x548C> Dimond District<0xFF0C><0x8BF7><0x5728> 11th St. <0x8F6C><0x4E58>96<0x8DEF><0x3002>
Line 33 replaces Line 11 on Oakland Ave. and in Piedmont.,La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 11 en Oakland Ave. y en Piedmont.,sp17_60,33<0x8DEF><0x5728> Piedmont <0x7684> Oakland Ave. <0x66FF><0x4EE3>11<0x8DEF><0x3002>
"Line 33 replaces Line 11 on T.L. Berkley Way. For 14th Ave., Highland Hospital, and the Dimond District transfer at 11th St. to Line 96.","La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 11 en T.L. Berkley Way. Para ir a 14th Ave., Highland Hospital, y Dimond District haga la transferencia a la l<0x00ED>nea 96 en 11th St.",sp17_61,33<0x8DEF><0x5728> T.L. Berkley Way <0x66FF><0x4EE3>11<0x8DEF><0x3002><0x5982><0x53BB> 14th Ave.<0x3001>Highland Hospital <0x548C> Dimond District<0xFF0C><0x8BF7><0x5728> 11th St. <0x8F6C><0x4E58>96<0x8DEF><0x3002>  
Line 33 replaces Line 18 on Park Blvd. and in Montclair.,La l<0x00ED>nea 33 reemplaza a la l<0x00ED>nea 18 en Park Blvd. y en Montclair.,sp17_62,33<0x8DEF><0x5728> Park Blvd. <0x548C> Montclair <0x66FF><0x4EE3>18<0x8DEF><0x3002> 
Line 79 replaces Line 49 from here to Rockridge BART.,La l<0x00ED>nea 79 reemplaza a la l<0x00ED>nea 49 desde aqu<0x00ED> hasta Rockridge BART.,sp17_63,79<0x8DEF><0x4ECE><0x672C><0x7AD9><0x5F00><0x59CB><0xFF0C><0x66FF><0x4EE3>49<0x8DEF><0x5F00><0x5F80> Rockridge BART<0x3002>
"Line 80 replaces Line 25 in this area.  For Gilman St. and Hopkins St., transfer at Gilman St. to Line 12.","La l<0x00ED>nea 80 reemplaza a la l<0x00ED>nea 25 en esta zona. Para ir a Gilman St. y Hopkins St., haga la transferencia a la l<0x00ED>nea 12 en Gilman St.",sp17_64,80<0x8DEF><0x5728><0x672C><0x5730><0x533A><0x66FF><0x4EE3>25<0x8DEF><0x3002><0x5982><0x53BB> Gilman St. <0x548C> Hopkins St.<0xFF0C><0x8BF7><0x5728> Gilman St. <0x8F6C><0x4E58>12<0x8DEF><0x3002>
Line 96 replaces Line 31 in Alameda Point. Board Line 96 on Saratoga St. at Midway Ave.,La l<0x00ED>nea 96 reemplaza a la l<0x00ED>nea 31 en Alameda Point. Suba a la l<0x00ED>nea 96 en Saratoga St y Midway Ave.,sp17_65,96<0x8DEF><0x5728> Alameda Point <0x66FF><0x4EE3>31<0x8DEF><0x3002><0x8BF7><0x5728>Saratoga St. <0x4E0A><0x7684> Midway Ave. <0x642D><0x4E58>96<0x8DEF><0x3002>
"Line 96 replaces Line 31 in Marina Village, West Alameda, and Alameda Point.","La l<0x00ED>nea 96 reemplaza a la l<0x00ED>nea 31 en Marina Village, West Alameda y Alameda Point.",sp17_66,96<0x8DEF><0x5728> Marina Village<0x3001>West Alameda <0x548C> Alameda Point <0x66FF><0x4EE3>31<0x8DEF><0x3002>
Line 96 replaces Line 31 in West Alameda and Alameda Point.,La l<0x00ED>nea 96 reemplaza a la l<0x00ED>nea 31 en West Alameda y Alameda Point.,sp17_67,96<0x8DEF><0x5728> West Alameda <0x548C> Alameda Point <0x66FF><0x4EE3>31<0x8DEF><0x3002>
Lines 80 and 81 replace Line 49 on Ashby Ave. and 7th St.,Las l<0x00ED>neas 80 y 81 reemplazan a la l<0x00ED>nea 49 en Ashby Ave. y 7th St.,sp17_68,80<0x548C>81<0x8DEF><0x5728> Ashby Ave. <0x548C> 7th St. <0x66FF><0x4EE3>49<0x8DEF><0x3002>
Take Line 12 for Hopkins St. or MLK Jr. Way. Leave the bus at Allston Way for downtown Berkeley.,Suba a la l<0x00ED>nea 12 para ir a Hopkins St. o MLK Jr. Way. B<0x00E1>jese del autob<0x00FA>s en Allston Way para ir a downtown Berkeley.,sp17_69,<0x642D><0x4E58>12<0x8DEF><0x53BB> Hopkins St. <0x6216> MLK Jr. Way<0x3002><0x5728> Allston Way <0x8F6C><0x4E58><0x53BB> downtown Berkeley <0x7684><0x516C><0x4EA4><0x3002>
Take Line 12 for MLK Jr. Way. Leave the bus at Allston Way for downtown Berkeley.,Suba a la l<0x00ED>nea 12 para ir a MLK Jr. Way. B<0x00E1>jese del autob<0x00FA>s en Allston Way para ir a downtown Berkeley.,sp17_70,<0x642D><0x4E58>12<0x8DEF><0x53BB> MLK Jr. Way<0x3002><0x5728> Allston Way <0x8F6C><0x4E58><0x53BB> downtown Berkeley <0x7684><0x516C><0x4EA4><0x3002>
Take Line 14 for 14th St.,Suba a la l<0x00ED>nea 14 para ir a 14th St.,sp17_71,<0x8BF7><0x642D><0x4E58>14<0x8DEF><0x53BB> 14th St.<0x3002>
"Take Line 14 for 14th St. For Lakeshore Ave., take Line 29 at West Oakland BART or take Line 14 and transfer at 1st Ave.","Suba a la l<0x00ED>nea 14 para ir a 14th St. Para ir a Lakeshore Ave., suba a la l<0x00ED>nea 29 en West Oakland BART o suba a la l<0x00ED>nea 14 y haga la transferencia en 1st Ave.",sp17_72,<0x642D><0x4E58>14<0x8DEF><0x53BB> 14th St.<0x3002><0x5982><0x53BB> Lakeshore Ave.<0xFF0C><0x8BF7><0x5728> West Oakland BART <0x642D><0x4E58>29<0x8DEF><0xFF0C><0x6216><0x8005><0x642D><0x4E58>14<0x8DEF><0xFF0C><0x7136><0x540E><0x518D><0x5728> 1st Ave. <0x8F6C><0x8F66><0x3002>
"Take Line 14 for 14th St. For Lakeshore Ave., take Line 29 on 10th St. or take Line 14 and transfer at 1st Ave.","Suba a la l<0x00ED>nea 14 para ir a 14th St. Para ir a Lakeshore Ave., suba a la l<0x00ED>nea 29 en 10th St. o suba a la l<0x00ED>nea 14 y haga la transferencia en 1st Ave.",sp17_73,<0x642D><0x4E58>14<0x8DEF><0x53BB> 14th St.<0x3002><0x5982><0x53BB> Lakeshore Ave.<0xFF0C><0x8BF7><0x5728> 10th St. <0x642D><0x4E58>29<0x8DEF><0xFF0C><0x6216><0x8005><0x642D><0x4E58>14<0x8DEF><0xFF0C><0x7136><0x540E><0x518D><0x5728> 1st Ave. <0x8F6C><0x8F66><0x3002>
"Take Line 14 for 14th St. For Lakeshore Ave., take Line 29 on 11th St. or take Line 14 and transfer at 1st Ave.","Suba a la l<0x00ED>nea 14 para ir a 14th St. Para ir a Lakeshore Ave., suba a la l<0x00ED>nea 29 en 11th St. o suba a la l<0x00ED>nea 14 y haga la transferencia en 1st Ave.",sp17_74,<0x642D><0x4E58>14<0x8DEF><0x53BB> 14th St.<0x3002><0x5982><0x53BB> Lakeshore Ave.<0xFF0C><0x8BF7><0x5728> 11th St. <0x642D><0x4E58>29<0x8DEF><0xFF0C><0x6216><0x8005><0x642D><0x4E58>14<0x8DEF><0xFF0C><0x7136><0x540E><0x518D><0x5728> 1st Ave. <0x8F6C><0x8F66><0x3002>
"Take Line 14 for 14th St. For Lakeshore Ave., take Line 29 on Peralta St. or take Line 14 and transfer at 1st Ave.","Suba a la l<0x00ED>nea 14 para ir a 14th St. Para ir a Lakeshore Ave., suba a la l<0x00ED>nea 29 en Peralta St. o suba a la l<0x00ED>nea 14 y haga la transferencia en 1st Ave.",sp17_75,<0x642D><0x4E58>14<0x8DEF><0x53BB> 14th St.<0x3002><0x5982><0x53BB> Lakeshore Ave.<0xFF0C><0x8BF7><0x5728> Peralta St.<0x642D><0x4E58>29<0x8DEF><0xFF0C><0x6216><0x8005><0x642D><0x4E58>14<0x8DEF><0xFF0C><0x7136><0x540E><0x518D><0x5728> 1st Ave. <0x8F6C><0x8F66><0x3002>
Take Line 14 for 14th St. or Wood St. ,Suba a la l<0x00ED>nea 14 para ir a 14th St. y Wood St.,sp17_76,<0x5982><0x53BB> Wood St. <0x548C> 14th St.<0xFF0C><0x8BF7><0x642D><0x4E58>29<0x8DEF><0x3002>
"Take Line 14 for 14th St. or Wood St. For Adeline St., take Line 14 and transfer there to Line 36.","Para ir a Wood St. y 14th St., suba a la l<0x00ED>nea 14. Para ir a Adeline St., suba a la l<0x00ED>nea 14 y haga la transferencia ah<0x00ED> a la l<0x00ED>nea 36.",sp17_77,<0x642D><0x4E58>14<0x8DEF><0x53BB> 14th St. <0x6216> Wood St.<0x3002><0x5982><0x53BB> Adeline St.<0xFF0C><0x8BF7><0x642D><0x4E58>14<0x8DEF><0xFF0C><0x7136><0x540E><0x518D><0x5728><0x90A3><0x8F6C><0x4E58>36<0x8DEF><0x3002>
"Take Line 14 for 14th St., Wood St. or West Oakland BART.","Suba a la l<0x00ED>nea 14 para ir a 14th St., Wood St. o West Oakland BART.",sp17_78,<0x642D><0x4E58>14<0x8DEF><0x53BB> 14th St.<0x3001>Wood St. <0x6216> West Oakland BART<0x3002>
Take Line 14 for West Oakland BART.,Suba a la l<0x00ED>nea 14 para ir a West Oakland BART.,sp17_79,<0x642D><0x4E58>14<0x8DEF><0x53BB> West Oakland BART<0x3002>
"Take Line 18 on Broadway for MLK Jr. Way, Berkeley and Albany.","Suba a la l<0x00ED>nea 18 en Broadway para ir a MLK Jr. Way, Berkeley y Albany.",sp17_80,<0x5728> Broadway <0x642D><0x4E58>18<0x8DEF><0x53BB> MLK Jr. Way<0x3001>Berkeley <0x548C> Albany<0x3002>
"Take Line 29 for Downtown Oakland. For areas west of downtown on 14th St., transfer to Line 14 on 1st Ave.","Suba a la l<0x00ED>nea 29 para ir a downtown Oakland. Para las <0x00E1>reas al oeste de downtown en 14th St., haga la transferencia a la l<0x00ED>nea 14 en 1st Ave.",sp17_81,<0x642D><0x4E58>29<0x8DEF><0x53BB> Downtown Oakland<0x3002><0x5982><0x53BB> Downtown Oakland <0x7684> 14th St. <0x897F><0x533A><0xFF0C><0x8BF7><0x5728> 1st Ave. <0x8F6C><0x4E58>14<0x8DEF><0x3002>
Take Line 29 for Downtown Oakland. Transfer to Line 96 on Broadway at 12th St. for Marina Village and Alameda Point.,Suba a la l<0x00ED>nea 29 para ir a downtown Oakland. Haga la transferencia a la l<0x00ED>nea 96 en Broadway con 12th St. para ir a Marina Village y Alameda Point.,sp17_82,<0x642D><0x4E58>29<0x8DEF><0x53BB> Downtown Oakland<0x3002><0x5728> Broadway <0x4E0A><0x7684> 12th St.<0x8F6C><0x4E58>96<0x8DEF><0x53BB> Marina Village <0x548C> Alameda Point<0x3002>
"Take Line 29 for Peralta St. and West Oakland BART. For Marina Village and Alameda Point, transfer to Line 96 on Broadway at 12th St.","Suba a la l<0x00ED>nea 29 para ir a Peralta St. y West Oakland BART. Para ir a Marina Village y Alameda Point, haga la transferencia a la l<0x00ED>nea 96 en Broadway con 12th St.",sp17_83,<0x642D><0x4E58>29<0x8DEF><0x53BB> Peralta St. <0x548C> West Oakland BART<0x3002><0x5728> Broadway <0x4E0A><0x7684> 12th St. <0x7AD9><0x8F6C><0x4E58>96<0x8DEF><0xFF0C><0x53BB> Marina Village <0x548C> Alameda Point<0x3002>
"Take Line 29 for West Oakland BART and 10th St. For Marina Village and Alameda Point, transfer to Line 96 on Broadway at 12th St.","Suba a la l<0x00ED>nea 29 para ir a West Oakland BART y 10th St. Para ir a Marina Village y Alameda Point, haga la transferencia a la l<0x00ED>nea 96 en Broadway con 12th St.",sp17_84,<0x642D><0x4E58>29<0x8DEF><0x53BB> West Oakland BART <0x548C> 10th St.<0x3002><0x5728> Broadway <0x4E0A><0x7684> 12th St. <0x8F6C><0x4E58>96<0x8DEF><0xFF0C><0x53BB> Marina Village <0x548C> Alameda Point<0x3002>
